type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.000744
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.020796
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.042494
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.058821
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.079806
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.104695
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.121975
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.145803
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.160160
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.180690
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.200749
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.219701
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.242819
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.259850
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.279702
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.301719
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.319859
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.339813
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.362104
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.380755
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.399385
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.419809
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.439269
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.467768
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.479924
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.501642
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.519789
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.539770
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.561897
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.580703
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.602819
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.618891
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.638824
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.659354
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.681686
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.698742
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.719666
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.742980
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.761715
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.779826
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.802177
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.821294
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.839792
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.859732
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.879546
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.899791
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.919726
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.939681
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.959090
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.979693
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:44.998911
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:45.022827
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:45.039468
